"url";"reach_rank";"delta";"country";"country_rank";"populartity"
"https://bringbee.ch";"6911828";"-6630490";"N/A";"N/A";"7910429"
"http://www.brinquedoteca.org.br/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.collaborativeconsumption.com/directoryitem/broads-abroad-travel-network/www.broadsabroad.net";"306204";"+84369";"201147";"United States";"329791"
"http://brooklynskillshare.org/";"9304323";"-7716233";"N/A";"N/A";"9846282"
"http://www.browncow.nl/";"2774994";"+1433037";"N/A";"N/A";"3433223"
"http://www.buffalocarshare.org/";"12812679";"+4284370";"N/A";"N/A";"11889583"
"http://bureauxapartager.com";"285371";"+18575";"6670";"France";"255502"
"http://www.buscala.com.br";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.busuu.com/enc/";"20391";"-245";"5187";"Russia";"13475"
"http://www.collaborativeconsumption.com/directoryitem/butlr/www.butlr.net";"306204";"+84369";"201147";"United States";"329791"
"http://www.collaborativeconsumption.com/directoryitem/buymywardrobe/www.buymywardrobe.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.buysellcommunity.com";"132118";"-8200";"29968";"India";"135300"
"https://www.buzzbnk.org/";"1835329";"+741686";"85220";"United Kingdom";"1971649"
"http://www.buzzcar.com/fr/";"5125048";"-7927681";"N/A";"N/A";"6093821"
"http://bycyklen.dk/";"883497";"-13295";"N/A";"N/A";"764610"
"http://www.byke.mobi/";"5758081";"-10898845";"158108";"Japan";"6705195"
"http://www.cavientdujardin.com/";"11982573";"+1394014";"N/A";"N/A";"9726111"
"http://www.cabcorner.com/";"6996246";"+2151909";"N/A";"N/A";"7803422"
"https://www.cabenamala.com.br//";"351813";"+59070";"16865";"Brazil";"337656"
"http://www.cabmix.com/";"14625980";"N/A";"N/A";"N/A";"15668024"
"http://cafenest.de/coworking/";"2434470";"-1652120";"N/A";"N/A";"2759225"
"http://www.cahootsy.com/";"5892114";"-2240002";"N/A";"N/A";"6849179"
"http://www.calgarycarshare.ca/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://www.facebook.com/ecobici";"2";"+0";"2";"United States";"2"
"http://www.cambioCar.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://www.cameralends.com/";"560012";"+98171";"118233";"United States";"538631"
"http://campinmygarden.com/";"1584314";"+341053";"N/A";"N/A";"1504663"
"http://campinmygarden.com/";"1584314";"+341053";"N/A";"N/A";"1504663"
"http://www.campusbookrentals.com/";"112641";"-62270";"61358";"United States";"108413"
"http://mycampuswall.com/";"4481534";"-6445781";"N/A";"N/A";"4428893"
"https://www.canhav.com/nl/";"18962200";"+13583259";"N/A";"N/A";"19761236"
"http://cantine-nantes.org/index.php";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.canubring.com/";"1129443";"-55496";"N/A";"N/A";"923822"
"http://www.collaborativeconsumption.com/directoryitem/capassety/www.capassety.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.carpoolarabia.com/";"676449";"-887623";"4792";"United Arab Emirates";"676045"
"http://www.car2gether.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.carnextdoor.com.au/";"285726";"-58505";"8267";"Australia";"291714"
"http://ecoplan.org/carshare/general/inventory.htm";"5756922";"-4548008";"N/A";"N/A";"6702954"
"http://www.cartogo.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://www.car2go.com";"34499";"+4133";"19152";"United States";"38800"
"http://www.collaborativeconsumption.com/directoryitem/carbon-voyage/www.carbonvoyage.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.carcityclub.it";"13683570";"N/A";"N/A";"N/A";"14633254"
"https://www.carclub.de/";"7339697";"+4881457";"N/A";"N/A";"7050844"
"http://cardswap.ca/";"672859";"+122201";"20533";"Canada";"634176"
"http://www.caretotrade.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.collaborativeconsumption.com/directoryitem/career-curb/www.careercurb.com.au";"306204";"+84369";"201147";"United States";"329791"
"http://www.collaborativeconsumption.com/directoryitem/career-intercom/www.careerinter.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.caronasolidaria.com.br";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.caroneiros.com.br";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.caronetas.com.br/";"2163695";"+812148";"N/A";"N/A";"2427899"
"http://www.carplus.org.uk/";"2675758";"-994113";"N/A";"N/A";"2612294"
"http://www.carpoolconnect.com";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.carpooldate.nl/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://carpoolking.com.au/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.carpoolone.com.au/";"7092180";"-3008710";"N/A";"N/A";"6834426"
"http://www.carpoolplaza.be";"N/A";"N/A";"N/A";"N/A";"N/A"
