"name";"url";"year";"location";"invest";"description"
"Borrow Tools";"http://Borrowtools.org";"2008";"Santa Rosa";"No";"N/A"
"Borrowed Bling";"http://www.borrowedbling.com";"N/A";"N/A";"N/A";"N/A"
"BorrowLenses";"http://www.borrowlenses.com/";"2007";"San Carlos";"N/A";"N/A"
"Box Cycle";"http://www.boxcycle.com";"2008";"San Francisco";"N/A";"N/A"
"Boxcycle";"http://www.BoxCycle.com";"2008";"San Francisco";"N/A";"N/A"
"Bright Neighbor";"http://www.brightneighbor.com/";"2007";"Portland";"N/A";"N/A"
"BringBee";"https://bringbee.ch";"2013";"N/A";"N/A";"N/A"
"Brinquedoteca";"http://www.brinquedoteca.org.br/";"2000";"Sao Paulo";"No";"N/A"
"Broads Abroad Travel Network";"http://www.collaborativeconsumption.com/directoryitem/broads-abroad-travel-network/www.broadsabroad.net";"2013";"Melbourne";"N/A";"Broads Abroad is a female-only online membership based social network listing opportunities for members to stay free of charge with like-minded women around the world."
"Brooklyn Skill Share";"http://brooklynskillshare.org/";"2009";"Brooklyn";"No";"N/A"
"BrownCow";"http://www.browncow.nl/";"2012";"Amsterdam";"N/A";"BrownCow combines ambitious entrepreneurs to the ex-head of the business."
"Buffalo CarShare";"http://www.buffalocarshare.org/";"2008";"Buffalo";"N/A";"N/A"
"Bureaux A Partager";"http://bureauxapartager.com";"2012";"Paris";"N/A";"Leader sur le marché français du partage de bureaux, BAP souhaite démocratiser une nouvelle forme de travail qui permet, au-delà de l’aspect financier, de dynamiser l’environnement professionnel. BAP s’inscrit dans une tendance de fond, celle de l’économie collaborative qui vise à optimiser l’utilisation des ressources existantes par le biais des nouvelles technologies"
"BuscaLa";"http://www.buscala.com.br";"N/A";"N/A";"N/A";"N/A"
"Busuu";"http://www.busuu.com/enc/";"2011";"N/A";"N/A";"N/A"
"Butlr";"http://www.collaborativeconsumption.com/directoryitem/butlr/www.butlr.net";"2012";"Gothenburg";"$ 160K";"Butlr is a peer-to-peer marketplace for services.
On Butlr you can ask for help for almost everything from everyday tasks to office matters. You can also set up your own Storefront and turn your interests, hobbies and talents into profit by listing them for sale on Butlr."
"BuyMyWardrobe";"http://www.collaborativeconsumption.com/directoryitem/buymywardrobe/www.buymywardrobe.com";"2011";"London";"N/A";"BuyMyWardrobe is an online marketplace for preowned designer fashion. The origins of the business are fashion recycling events held in upmarket locations around London. The online marketplace launched in 2012."
"BuySellCommunity";"http://www.buysellcommunity.com";"N/A";"N/A";"N/A";"N/A"
"buzzbnk";"https://www.buzzbnk.org/";"N/A";"london";"N/A";"N/A"
"BuzzCar";"http://www.buzzcar.com/fr/";"2011";"Paris";"No";"N/A"
"Bycyklen (Copenhagen, Denmark)";"http://bycyklen.dk/";"1995";"Copenhagen";"No";"N/A"
"byke";"http://www.byke.mobi/";"N/A";"N/A";"N/A";"N/A"
"ca vient du jardin";"http://www.cavientdujardin.com/";"N/A";"N/A";"N/A";"N/A"
"CabCorner";"http://www.cabcorner.com/";"2009";"New York";"Yes";"N/A"
"Cabenamala";"https://www.cabenamala.com.br//";"2011";"Rio de Janeiro";"N/A";"What is it? Fits in Mala The site is a collaborative delivery, which connects travelers with a little space in the suitcase for people who want products from other countries or states. It is in the suitcase you can order a product from anywhere in the world to be delivered in your city"
"Cabmix";"http://www.cabmix.com/";"2013";"Barcelona";"N/A";"N/A"
"Cafe Nest";"http://cafenest.de/coworking/";"2009";"Berlin";"No";"N/A"
"Cahootsy Limited";"http://www.cahootsy.com/";"2014";"London";"N/A";"Cahootsy is a marketplace where shoppers and merchants collaborate for mutual benefit, saving time and money. Share advice, shopping lists and ask for deals together, for less. Merchants crowd-source their marketing and in exchange can afford to provide in demand discounts."
"Calgary CarShare";"http://www.calgarycarshare.ca/";"1999";"Calgary";"N/A";"N/A"
"Call A Bike";"https://www.facebook.com/ecobici";"2001";"Frankfurt";"N/A";"N/A"
"CambioCar";"http://www.cambioCar.com";"2000";"Aachen";"No";"N/A"
