"name";"url";"year";"location";"invest";"description"
"Gigoing";"http://www.gigoing.com";"2013";"Valencia";"€ 100.000";"Gigoing connects professionals around the world, helping you to live a professional experience in the destination country as if you were from there. In addition they can help you with a room and board. They may accompany you to coworking sites, helping you to find offices, local information and get you contacts. And that’s not all; they can even introduce you to meet like-minded people in the local culture, etc.
Because worldwide, there are many professionals like you who want to: expand knowledge, specialize in some specific areas, open a businesses, discover trends, find new business, etc..
All these experiences will allow you to generate your PBP, personal branding passport, and you can become the host for other travellers and professionals seeking the same in your country and also enriches your passport personal brand.
It’s about living an overall professional experience locally."
"Gigot";"http://www.gigoit.org/";"N/A";"Portland";"N/A";"N/A"
"Gigwalk";"http://gigwalk.com/";"2010";"San Francisco";"Yes";"N/A"
"Gimme Clubs";"http://www.collaborativeconsumption.com/directoryitem/gimme-clubs/www.gimmeclubs.com";"2014";"New York";"N/A";"We are a golf club sharing community."
"Gine Agrotis";"http://www.gineagrotis.gr/";"2012";"N/A";"N/A";"N/A"
"Girl Meets Dress";"http://www.girlmeetsdress.com/";"2009";"N/A";"N/A";"N/A"
"Givit";"http://www.givit.org.au/";"N/A";"Brisbane";"N/A";"N/A"
"Glasundbild";"http://www.glasundbild.com/";"2010";"Berlin";"No";"N/A"
"Globechain";"http://www.globechain.com/login.aspx";"N/A";"N/A";"N/A";"N/A"
"gloveler GmbH";"http://gloveler.com";"2007";"Karlsruhe";"N/A";"The German short term rentals pioneer. Connecting hosts and travelers worldwide with a large range of accommodation types: from couch to vacation home, from a room in a private home to bed and breakfasts."
"go2gether";"http://go2gether.ca";"2013";"Vancouver";"N/A";"go2gether is a very simple way for you to instantly find anyone who is going the same way you are. As a result, we make ridesharing seamless, effortless and easy."
"GoBac";"http://www.gobac.ca/";"2013";"Montreal";"N/A";"N/A"
"Gobble";"http://www.gobble.com/";"2011";"Palo Alto";"Yes";"N/A"
"GoCar";"http://www.gocar.ie";"2010";"Dublin";"No";"N/A"
"goCarShare";"http://www.gocarshare.com";"2010";"London";"No";"N/A"
"GoFundMe";"http://www.gofundme.com/";"2010";"San Diego";"N/A";"GoFundMe is the world’s most popular fundraising website for personal causes and life-events."
"GoGet";"http://www.goget.com.au/";"2003";"Adelaide Brisbane Melbourne and Sydney";"No";"N/A"
"Gomi";"http://gomi.co/";"N/A";"Sydney";"N/A";"N/A"
"gomore";"http://gomore.dk/";"N/A";"N/A";"N/A";"N/A"
"Gone Coworking";"http://gonecoworking.com/";"2010";"San Francisco";"No";"N/A"
"Good Eggs";"https://www.goodeggs.com/";"2011";"San Francisco";"N/A";"N/A"
"GoodGym";"http://www.goodgym.org/";"2009";"London";"N/A";"N/A"
"Goodsha.re";"http://www.goodsha.re/";"2012";"N/A";"N/A";"N/A"
"GoShare";"http://www.collaborativeconsumption.com/directoryitem/goshare/www.goshare.co";"2014";"San Diego";"N/A";"GoShare is a peer-to-peer network that connects people who have a pickup truck, van, or SUV with people nearby who need help moving, towing, hauling, shipping or delivering an item over short distances. The GoShare mobile apps allow customers to request a truck, van, or SUV on demand. Customers can also use the website to schedule a pickup in advance and request a particular driver .Download the app for free today!"
"goshi";"http://www.goshi.me";"2010";"Chicago";"N/A";"N/A"
"Goteo";"http://goteo.org/";"2011";"N/A";"N/A";"N/A"
"GotSkillz";"http://www.gotskillz.org";"2007";"Hillsborough";"No";"N/A"
"GratiFeria";"http://www.dragonecologista.com.ar/gratiferia.html";"N/A";"N/A";"N/A";"N/A"
"GreatSpaceInc";"http://www.greatspaceinc.com/";"N/A";"N/A";"N/A";"N/A"
"GreenShareCar";"http://www.greensharecar.com.au/";"2000";"Melbourne";"No";"N/A"
"Greenwheels";"http://www.greenwheels.nl";"1995";"Rotterdam";"No";"N/A"
"GreenWorQ";"http://www.collaborativeconsumption.com/directoryitem/greenworq/www.greenworq.com";"2014";"Nashville TN";"N/A";"Searching for a good lawn care professional that one can trust is NOT an easy task."
"GRID Finance";"https://www.grid.finance";"2013";"Dublin";"N/A";"GRID Finance’s peer to peer financing platform gives businesses access to debt finance at competitive interest rates while giving individuals the opportunity to lend to these businesses and earn interest."
"Groundfloor";"https://www.groundfloor.us/";"2013";"Atlanta";"N/A";"The first microlending community for investing in real estate | Earn 8-12% interest, secured, starting with just $10."
"Growington";"http://growington.com/";"2010";"London";"N/A";"N/A"
"growtheplanet";"http://blog.growtheplanet.com/";"N/A";"N/A";"N/A";"N/A"
"growyourneighboursown";"http://growyourneighboursown.org.uk/";"N/A";"N/A";"N/A";"N/A"
"Grub Club";"http://www.grubclub.com/";"2012";"London";"N/A";"N/A"
"GrubWithUs";"https://www.grubwithus.com/";"2010";"Chicago";"N/A";"N/A"
"Gruenes Auto (Denmark)";"http://www.gruenes-auto.de";"1998";"G";"No";"N/A"
"Gudog";"https://gudog.co.uk";"2012";"Madrid";"N/A";"Gudog was the first p2p marketplace for dog owners and trustworthy dog sitters in Europe.
Gudog offers Dog Boarding, Dog Walking and Doggy Day Care in United Kingdom, Germany, France and Spain."
"Gudog";"https://gudog.com/";"2012";"N/A";"N/A";"Gudog is a platform that brings together dog owners and experienced Dog sitters. Find an ideal Dog sitter for your Gudog!"
"GuestToGuest";"http://www.guesttoguest.com/en/?utm_source=google-adwords&utm_medium=adwords&utm_campaign=adwords-anglais&gclid=CLKpwoG0lL8CFVcnvQod0yoANQ";"2011";"Paris";"N/A";"N/A"
"GuestToGuest";"http://www.collaborativeconsumption.com/directoryitem/guesttoguest-2/www.guesttoguest.com";"2011";"Paris";"N/A";"GuestToGuest is a social network whose members exchange their apartments or homes over the holidays for free. The most important innovation is its brilliant system of points known as GuestPoints. These points make it possible to make a non-reciprocal exchange, further increasing exchange opportunities for all members."
"Guidehop";"http://guidehop.com/";"2011";"N/A";"N/A";"N/A"
"Gumtree";"http://www.gumtree.com/";"2000";"London";"Yes";"N/A"
"Gweet";"http://www.gweet.com/";"2012";"N/A";"N/A";"N/A"
"Hacklab";"https://hacklab.to/";"2008";"Toronto";"N/A";"N/A"
"HalleundCo";"http://www.halleundco.de/";"2010";"Halle";"No";"N/A"
"Hamafkid";"http://www.hamafkid.com/";"2010";"N/A";"N/A";"N/A"
"Hand Things Down";"http://handthingsdown.com/";"2010";"N/A";"N/A";"N/A"
"HandMeDowns";"http://Handmedowns.com";"1995";"The Basin Victoria";"N/A";"N/A"
"Happily Ever BorroWED";"http://www.happilyeverborrowed.com/";"2011";"New York";"N/A";"N/A"
"Hat Factory";"http://hatfactory.net";"2006";"San Francisco";"No";"N/A"
"heeeelp.me";"http://www.heeeelp.me/";"2013";"Thessaloníki";"N/A";"N/A"
"HelloMarket";"http://www.hellomarket.com/";"N/A";"seoul";"N/A";"N/A"
"HelpStay";"http://www.collaborativeconsumption.com/directoryitem/helpstay/www.helpStay.com";"2014";"Dublin";"€100,000";"HelpStay™ is a new way of traveling by combining it with sharing. Its’ made possible by creating an online community platform that introduces independent travellers, who provide volunteer help to local hosts who offer in exchange accommodation."
"HelpStay";"http://helpstay.com/";"2014";"Dublin";"100000";"Travel & Stay for free in return for a few hours of honest help –www.helpStay.com"
"Hemen Kiralik";"http://hemenkiralik.com/";"2012";"Istanbul";"N/A";"N/A"
"Hey, Neighbor!";"http://heyneighbor.com/pages/home";"2010";"San Francisco";"N/A";"N/A"
"HinnerDu.se";"http://hinnerdu.se/sv-se/";"2010";"N/A";"N/A";"N/A"
"HipHost";"http://www.hiphost.com";"2012";"Salem";"N/A";"N/A"
"Hire Expectations";"http://www.hireexpectations.co.uk/";"N/A";"Oxfordshire";"N/A";"N/A"
"hitchhikers.org";"http://www.hitchhikers.org";"1999";"Delft";"No";"N/A"
"HitFlip";"http://www.hitflip.de";"2005";"N/A";"Yes";"N/A"
"Hive Rides";"http://hiverides.com/";"2012";"Melbourne";"N/A";"N/A"
"Hive Studio";"http://hivestudio.com.au/";"N/A";"Melbourne";"N/A";"N/A"
"Hive Studio";"http://hivestudio.com.au/";"N/A";"Melbourne";"N/A";"Created in 2007, Hive Studio is a shared professional workspace with a community atmosphere. Our spaces are designed to meet the needs of micro businesses, freelancers, home-office workers, entrepreneurs, start-ups, tech workers, writers, designers, and other professionals whose work doesn’t fit into a normal office template.
Members receive access to a reliable office space within a unique modern community."
"HiveWire";"http://www.hivewire.ca/work/crowdfunding_/catalyst/";"2012";"Toronto";"N/A";"N/A"
"Home Elephant";"http://www.homeelephant.com/";"2011";"Atlanta";"No";"N/A"
"Home Equity Share";"http://www.homeequityshare.com/";"2006";"Monterey";"No";"N/A"
"HomeAway";"http://www.homeaway.com/";"2011";"Melbourne";"N/A";"N/A"
"HomeDine";"http://homedine.com/";"2012";"San Francisco";"N/A";"N/A"
"HomeExchange";"https://www.homeexchange.com/en/";"2013";"San Francisco";"N/A";"Travel anywhere and stay for free with HomeExchange.com."
"homeforexchange";"http://www.homeforexchange.com";"N/A";"N/A";"N/A";"N/A"
"Homegrownuk: National Garden Share Community";"http://homegrownuk.org/";"2009";"Atlanta";"No";"N/A"
"Homestay";"http://www.homestay.com/?gclid=CN6P6NGslL8CFcUsvQodxlQAyg";"2013";"N/A";"N/A";"N/A"
"Hoobly";"http://www.hoobly.com";"2003";"N/A";"N/A";"N/A"
"Hoodoko";"http://www.collaborativeconsumption.com/directoryitem/hoodoko/hoodoko.com";"2014";"Toronto";"N/A";"Hoodoko is the easiest way for Small, Micro & Home businesses to sell their services, promote, collaborate and grow."
"HOTDESK";"http://www.hotdesk.com.au/";"2013";"Melbourne";"$150,000";"Hotdesk is a shared office space platform connecting businesses that have extra office or desk space with solo entrepreneurs, start-ups, small businesses and consultancies that need access to affordable and flexible space, be it for hours, days, weeks or months. This not only frees up cash for everybody but helps to build a collaborative environment where people come together to network, share insights and help each other succeed."
"HourCar";"http://www.hourcar.org/";"2005";"St Paul";"N/A";"N/A"
"House of Commons";"http://houseof.co/";"N/A";"Melbourne";"N/A";"N/A"
"Housebites";"http://www.housebites.com/";"2011";"London";"N/A";"N/A"
"HouseCall";"http://www.collaborativeconsumption.com/directoryitem/housecall/www.tryhousecall.com";"2013";"San Diego";"$1.5m";"HouseCall is a mobile app that connects you to a marketplace of the best home services professionals that live and work in your neighborhood."
"Housetrip";"http://www.housetrip.com/";"2009";"London";"N/A";"N/A"
"HowdyHood";"http://www.howdyhood.com/";"2011";"New York";"No";"N/A"
"Hub Melbourne";"http://hubmelbourne.com/";"N/A";"Melbourne";"N/A";"N/A"
"HubCulture";"http://www.hubculture.com";"2002";"London";"No";"N/A"
"Huertos Compartidos";"http://www.huertoscompartidos.es/";"2011";"N/A";"N/A";"N/A"
"Humanity Online";"http://www.collaborativeconsumption.com/directoryitem/humanity-online/www.humanityonline.org";"2013";"Rugby";"£5000";"A social and professional collaborative platform that enables all users to collaborate on creating solutions to issues that concern them, and where 90% of profit is invested into other charitable initiatives or into enterprises that pursue social/environmental sustainability."
"HutStorage";"http://hutstorage.com/";"2014";"Melbourne";"N/A";"HutStorage is a trusted online marketplace for people to list, and book storage spaces around the world. Find local storage spaces to store your good within reach and with the minimum commute required."
"Hux";"https://hux.com";"2014";"Atlanta";"N/A";"You can instantly book a local service provider on Hux. Currently available for house cleaning, Hux enables you to find, book and pay for a local cleaner."
"HZ Bike (China)";"http://www.hzbike.com/";"2004";"Hangzhou";"No";"N/A"
"I Let You";"http://www.iletyou.com/";"2006";"San Francisco";"No";"N/A"
"I Stop Over";"http://www.istopover.com/";"2009";"Toronto";"No";"N/A"
"i-Ella";"http://www.i-ella.com/";"2010";"New York";"N/A";"N/A"
"I-Go Car Sharing";"http://www.igocars.org/";"2002";"Chicago";"No";"N/A"
"ibureaubisontin";"http://www.ibureaubisontin.com/";"N/A";"N/A";"N/A";"N/A"
"Ibykux";"http://www.ibykus-campus.de/";"2011";"Erfurt";"No";"N/A"
"icancanu";"http://www.icancanu.com/home";"2011";"London";"N/A";"N/A"
"icarpool.com";"http://www.icarpool.com";"2006";"Bellevue";"No";"N/A"
"ICS";"http://www.icscarsharing.it";"2001";"Milan";"No";"N/A"
"Ideame";"http://idea.me/";"2011";"N/A";"N/A";"N/A"
"iHub";"http://www.ihub.co.ke/pages/home.php";"2010";"Nairobi";"N/A";"N/A"
"iKringloop";"http://www.ikringloop.com/";"2012";"Amsterdam";"N/A";"Give your stuff a second life; pass them on through the app, which includes second hand stores, municipalities and charities."
"Independents Hall (Philidelphia)";"http://www.indyhall.org/blog/category/independents-hall/";"2007";"Philadelphia";"No";"N/A"
"Indiegogo";"http://www.indiegogo.com";"2008";"N/A";"N/A";"N/A"
"Inspire9";"http://inspire9.com/";"N/A";"Melbourne";"N/A";"N/A"
"Inspire9";"http://inspire9.org/ (coworking space oz)";"2011";"Melbourne";"No";"N/A"
"instantluxe";"http://www.instantluxe.com/";"N/A";"N/A";"N/A";"N/A"
"Ioby";"http://ioby.org/";"N/A";"New York ";"N/A";"N/A"
"iRent2U";"http://irent2u.com/";"2007";"Loma Linda";"No";"N/A"
"Irentshare";"http://www.irentshare.com/";"2014";"New Delhi ";"N/A";"Online rental for electronics, furniture, books and traveling gear"
"itchytours";"http://www.itchytours.com";"2014";"London";"N/A";"Free tours, budget tours and more. Bringing free tours and city greeting to every city in the world by allowing individuals and small companies to market, reserve and sell their walks for free."
"Ithaca Carshare";"http://www.ithacacarshare.org/";"2008";"Ithaca";"N/A";"N/A"
"Ithaca Hours";"http://www.ithacahours.org";"1991";"Ithaca";"No";"N/A"
"jacando";"http://www.collaborativeconsumption.com/directoryitem/jacando/www.jacando.com";"2012";"Basel";"N/A";"jacando is an Internet platform, founded in July of 2012, for side jobs and microjobs in Switzerland. jacando connects “sponsors,” people in search of help with various tasks, with “jobbers,” people offering their help. This is done in a direct and efficient way utilizing jacando’s trusted platform."
"Jayride";"http://www.jayride.com.au/";"N/A";"N/A";"N/A";"N/A"
"JeLoueMonCampingCar.com";"https://www.jelouemoncampingcar.com/";"2012";"Bordeaux";"N/A";"N/A"
"Jetlimo";"http://www.jetlimo.com/";"2009";"Thousand Oaks California";"N/A";"N/A"
"Jipio";"http://jipio.com";"2011";"Delft";"250k";"N/A"
"Job-Runners";"http://www.collaborativeconsumption.com/directoryitem/job-runners/www.job-runners.com";"2014";"NYC";"N/A";"Helping busy people get everyday jobs, errands & chores done and a flexible way for others to make extra money. Runners are empowered & bid only for the jobs they want; prices are mutually agreed between poster and Runner. Also a portion of the service fee is donated to local charities!"
"Jointli";"http://jointli.com/";"N/A";"new york";"N/A";"N/A"
"JoinUp Taxi";"http://www.joinuptaxi.com/es";"2012";"Barcelona";"N/A";"N/A"
"joujouthequedelvis";"http://www.joujouthequedelevis.com";"N/A";"N/A";"N/A";"N/A"
"Jugarescrecer";"http://www.jugarescrecer.org.mx";"1995";"Mexico City";"No";"N/A"
"JuicyCanvas";"http://juicycanvas.com/";"2012";"New York";"N/A";"N/A"
"JuicyCanvas";"http://juicycanvas.com/";"2012";"New York";"N/A";"N/A"
"Jump On Flyaways";"N/A";"2013";"Calgary";"N/A";"N/A"
"Jupiter’s Motoshare";"http://www.jupitersmotoshare.com/";"2006";"Brooklyn";"No";"N/A"
"JupYeah";"http://www.collaborativeconsumption.com/directoryitem/jupyeah/www.jupyeah.com";"2011";"Hong Kong";"N/A";"JupYeah, meaning taking stuff in Cantonese is a swap initiative that runs Hong Kong’s very first local swap parties and Hong Kong’s most established freecycling website to promote the spirit of sharing and a wiser cycle of transferring resources. JupYeah stands for a whole new generation who both contributes to consumerism and conserves our limited natural resources."
"JustAnswer";"http://www.collaborativeconsumption.com/directoryitem/justanswer/www.justanswer.com";"2003";"San Francisco";"N/A";"Our mission is simple: We help people."
"JustShareIt";"http://www.justshareit.com/";"2011";"San Francisco";"No";"N/A"
"kartag";"http://kartag.com/";"2013";"N/A";"N/A";"N/A"
"Kauai Abundance";"http://www.kauaiabundance.com/about.html";"N/A";"N/A";"N/A";"N/A"
"Keepio";"https://www.keepio.com/";"2010";"Louisville";"N/A";"N/A"
"Keycafe";"https://www.keycafe.com/";"2012";"Vancouver";"N/A";"N/A"
"kickstarter";"http://www.kickstarter.com/";"N/A";"N/A";"N/A";"N/A"
"Kiditroc";"http://www.kiditroc.com/";"N/A";"Rhone-Alps";"N/A";"N/A"
"Kiinzel";"http://www.kiinzel.com/";"2012";"Toronto";"N/A";"N/A"
"Kind Exchange";"N/A";"2011";"Toronto";"N/A";"N/A"
"Kind Set";"http://www.kindset.com/";"2013";"N/A";"N/A";"Spend less on buying books by borrowing books from people you know."
"Kinderado";"http://www.kinderado.de/";"2011";"Munchen";"N/A";"N/A"
"Kindermuseum Baden";"http://www.kindermuseum.ch";"1896";"Baden";"No";"N/A"
"Kiple";"http://www.kiple.net/";"2011";"N/A";"N/A";"N/A"
"Kirpeep";"http://kirpeep.com/";"2011";"N/A";"N/A";"N/A"
"Kiss Kiss Bank Bank";"http://www.kisskissbankbank.com/";"2010";"Paris";"N/A";"N/A"
"Kitchensurfing";"http://www.kitchensurfing.com/";"N/A";"New York";"N/A";"N/A"
"KitchIt";"http://www.kitchit.com/";"2012";"New York";"N/A";"N/A"
"Kitesurfing Market";"http://www.collaborativeconsumption.com/directoryitem/kitesurfing-market/www.kitesurfing-market.com";"2014";"Bruxelles";"N/A";"Kitesurfing Market is a peer-to-peer platform allowing kitesurfers to sell and buy second-hand kitesurfing gear."
"Kitsta";"https://kitsta.com";"2014";"London";"N/A";"N/A"
"Kiva";"http://www.kiva.org";"2005";"San Francisco";"Yes";"N/A"
"Knok";"http://www.collaborativeconsumption.com/directoryitem/knok-2/www.knok.com";"2011";"Barcelona";"N/A";"Knok is the first Family Travel Network: Connect to thousands of like-minded families, who let each other stay at our beautiful homes on vacation."
"Knok";"http://www.knok.com/";"2011";"N/A";"N/A";"N/A"
"Kodesk";"http://www.kodesk.com/";"2011";"Brussels";"No";"N/A"
"koinz.me";"http://koinz.me";"2014";"Gravataí";"N/A";"Koinz encourages the idea of ​​people donating things that are no longer using, for other people who will use them. On the other hand, get free items that you want."
"Konnektid";"http://www.konnektid.com/";"2011";"Amsterdam";"N/A";"Everyone has a skill worth sharing and at Konnektid you can share yours whilst learning from others around you. Konnektid allows you to find people online that can teach you whatever you want offline. Konnektid members meet up to share a wide variety of skills and knowledge, from learning how to build WordpPress websites to writing a marketing plan or understanding how to use Photoshop. And it’s all for free!"
"Kookopa";"http://www.collaborativeconsumption.com/directoryitem/kookopa/www.kookopa.com";"2013";"new york";"N/A";"N/A"
"Kozaza";"http://www.kozaza.com/";"2012";"Seoul";"N/A";"N/A"
"kozaza.com";"http://www.collaborativeconsumption.com/directoryitem/kozaza-com/http;//kozaza.com";"2012";"Seoul";"Angel funding of $500,000";"kozaza.com: Book Homes in Seoul.
Kozaza is a home sharing service located in and focused on Seoul, Korea.
Find a unique space to stay in Seoul: homestay, guest houses, studio, Hanokstay and Templestay at http://kozaza.com."
"Krijgdekleertjes";"http://www.krijgdekleertjes.nl/";"2012";"N/A";"N/A";"Swap your clothes and toys for a package of stuff that fits your child. Just over the internet, at a time that suits you. Sustainable and profitable!"
"Krrb";"http://krrb.com";"2010";"N/A";"N/A";"N/A"
"Krrb";"http://krrb.com/";"2010";"Brooklyn";"N/A";"A hyperlocal online classifieds here you can thrift, rummage and discover local treasures—at your doorstep or around the world."
"Kukunu";"http://www.kukunu.com/";"N/A";"california";"N/A";"N/A"
"Kutoto";"http://www.kutoto.com/";"2013";"Toronto";"N/A";"N/A"
"KWIPPED";"http://www.collaborativeconsumption.com/directoryitem/kwipped/www.kwipped.com";"2014";"Wilmington";"Funded";"KWIPPED is an online B2B equipment rental marketplace that makes it easy for businesses to find and rent equipment from a network of rental suppliers. KWIPPED.com technology streamlines sourcing from a global network of equipment rental suppliers to reduce risk, assure quality and facilitate trusted relationships between marketplace members."
"l’usine";"http://www.lusineabelfort.fr/";"N/A";"Belfort";"N/A";"N/A"
"la boate";"http://laboate.com/";"N/A";"Marseille";"N/A";"N/A"
"la cantine";"http://lacantine.org/";"N/A";"Paris";"N/A";"N/A"
"la cantine Rennes";"http://www.lacantine-rennes.net/";"N/A";"Rennes";"N/A";"N/A"
"la coroutine";"http://www.lacoroutine.org/";"N/A";"Lille";"N/A";"N/A"
"La Machine Du Voisin";"http://www.lamachineduvoisin.fr/";"2012";"N/A";"N/A";"N/A"
"la ruche";"http://la-ruche.net/";"N/A";"Paris";"N/A";"N/A"
"la ruche qui dit oui";"http://www.laruchequiditoui.fr/";"N/A";"N/A";"N/A";"N/A"
"lamachineduvoisin.fr";"http://www.lamachineduvoisin.fr/";"N/A";"N/A";"N/A";"N/A"
"Landbay";"http://landbay.co.uk/";"2013";"London";"N/A";"Landbay is a peer-to-peer lending company where your money is always secured over a portfolio of tenanted British homes."
"Landshare";"http://www.landshare.net";"2009";"Oxford";"No";"N/A"
"Landshare Canada";"http://www.landsharecanada.com";"N/A";"Toronto";"N/A";"N/A"
"LaunchCo";"http://launchco.com/coworking";"2010";"Berlin";"No";"N/A"
"lawomatic";"http://www.lawomatic.fr/";"N/A";"Paris";"N/A";"N/A"
"LAXCarShare";"http://www.laxcarshare.com/";"2009";"San Francisco";"N/A";"N/A"
"le comptoir du don";"http://www.lecomptoirdudon.com/";"N/A";"N/A";"N/A";"N/A"
"Learnemy";"http://www.collaborativeconsumption.com/directoryitem/learnemy/www.learnemy.com";"2012";"Singapore";"SGD50,000";"Learnemy is an online marketplace where you can take or give offline classes to people in your community."
"Leihdirwas";"http://www.leihdirwas.de/";"2010";"Stuttgart";"N/A";"N/A"
"Leloca";"http://www.leloca.com/";"2012";"N/A";"N/A";"N/A"
"Lend me";"http://lendmeapp.wordpress.com/";"2012";"N/A";"N/A";"N/A"
"Lenderise";"http://lenderise.com/";"2012";"N/A";"N/A";"N/A"
"LendingKarma";"http://www.lendingkarma.com";"2009";"San Francisco";"N/A";"Simply the best and easiest to use solution for lending money with people you know."
"LendInk";"http://www.lendink.com/";"2011";"Orange County";"N/A";"N/A"
"LendItMendIt";"http://www.collaborativeconsumption.com/directoryitem/lenditmendit/www.lenditmendit.com";"N/A";"London";"N/A";"LendItMendIt helps you rent and borrow everyday things securely and cheaply. Earn money from your stuff, for free – or easily rent nearby items to help save you money."
"LendKey";"http://www.lendkey.com";"2007";"New York";"No";"N/A"
"Lendle";"http://lendle.me/";"2011";"N/A";"N/A";"N/A"
"lepotiron";"http://www.lepotiron.fr/";"N/A";"paris";"N/A";"N/A"
"les eco-habitants";"http://www.lesecohabitants.fr/";"N/A";"N/A";"N/A";"N/A"
"les trocheures";"http://www.lestrocheures.fr/";"N/A";"N/A";"N/A";"N/A"
"lesavoirspartage";"http://lesavoirpartage.org/";"N/A";"dieulefit";"N/A";"N/A"
"Lessfuss";"http://lessfuss.co.za/";"2011";"Cape Town";"N/A";"N/A"
"Let’s Swap";"http://www.letsswap.it/";"2011";"Brooklyn";"N/A";"N/A"
"LETS";"http://www.auslets.org/";"N/A";"N/A";"N/A";"N/A"
"LifeThek";"http://www.lifethek.de";"2013";"Hamburg";"N/A";"N/A"
"LifeThek";"http://lifethek.de/";"N/A";"Hamburg";"N/A";"N/A"
"Liftshare";"http://www.liftshare.com/uk/";"1997";"Attleborough";"No";"N/A"
"Liftsurfer";"http://www.liftsurfer.com/";"N/A";"N/A";"N/A";"N/A"
"LikeMinds";"http://getlikeminds.com/";"N/A";"N/A";"N/A";"N/A"
"Lilienhof";"http://www.lilienhof-coworking.com/";"2010";"Hamburg";"No";"N/A"
"Liquid";"https://www.doliquid.com/";"2011";"New York";"N/A";"N/A"
"Liquid Space";"http://liquidspace.com/";"2010";"Palo Alto";"Yes";"N/A"
"Liquidspace";"https://liquidspace.com/";"2011";"N/A";"N/A";"N/A"
"ListMinut";"http://www.collaborativeconsumption.com/directoryitem/listminut/www.listminut.com";"2013";"N/A";"N/A";"N/A"
"LiteCoin";"https://litecoin.org/";"2013";"N/A";"N/A";"Litecoin is a peer-to-peer Internet currency that enables instant payments to anyone in the world."
"Literatoo";"http://en.literatoo.com";"N/A";"Iserlohn";"N/A";"Booksharing platform to lend and borrow books in your region for free"
"Livemyfood";"http://www.livemyfood.com/";"N/A";"Paris";"N/A";"N/A"
"Livop";"http://www.livop.fr/";"2010";"Paris";"No";"N/A"
"Liwwa";"https://www.liwwa.com/?view=global|introduction";"2013";"N/A";"N/A";"N/A"
"LoadMax";"http://www.loadmax.com.au/";"2011";"Wee Waa";"N/A";"N/A"
"Loanables";"http://www.loanables.com/";"2006";"Austin";"No";"N/A"
"LoanBack";"http://www.loanback.com/";"2005";"Redwood City";"Yes";"N/A"
"Local Circles";"https://www.localcircles.com/a/";"2011";"Delhi";"N/A";"Social Media for communities, utility and governance. Makes urban daily life easier and better!"
"Local Motion";"http://www.alexride.org/carpool.php";"N/A";"Alexandria";"No";"N/A"
"LocalYoo";"http://www.localyoo.com/";"2014";"Tel Aviv";"N/A";"Localyoo.com is a community marketplace connecting travelers with local experts. We enable travelers to book tips, itineraries and experiences from a variety of qualified locals.
We believe that the important thing is to experience a place from a local perspective and try to create real connections between tourists and local people around the world."
"LocaWoka";"http://www.locawoka.com/";"N/A";"Toronto";"N/A";"Outsourcing / delegating tasks conveniently to reliable, local people"
"Lock8";"http://lock8.me/";"2013";"Berlin";"N/A";"LOCK8 is a global platform for bike-sharing, enabled through the world’s first smart, keyless bike lock."
"Locongo";"http://locongo.com/";"N/A";"Sydney";"N/A";"N/A"
"Loka Woka";"http://www.locawoka.com/";"2013";"Toronto";"N/A";"N/A"
"Lokob";"https://www.lokob.fr/";"2010";"Marseille";"N/A";"N/A"
"Lonely Crates";"http://www.collaborativeconsumption.com/directoryitem/lonely-crates/www.lonelycrates.com";"2014";"Dallas ";"N/A";"LonelyCrates.com is your online marketplace for used shipping crates, specializing in crates from and for the art world."
"Love Home Swap";"http://www.lovehomeswap.com/";"2009";"London";"N/A";"N/A"
"Love me and Leave me";"http://www.lovemeandleaveme.com/";"N/A";"Melbourne";"N/A";"N/A"
"LOVEFiLM";"http://www.lovefilm.com/";"2004";"N/A";"N/A";"N/A"
"LoveFre.sh";"http://lovefre.sh/";"N/A";"London";"N/A";"N/A"
"LoveMe and LeaveMe";"http://lovemeandleaveme.com/";"N/A";"Melbourne";"N/A";"N/A"
"Lucky Duck Toy Box";"http://www.luckyducktoybox.com/";"2008";"Metro Vancouver";"No";"N/A"
"Ludovico";"http://www.ludovico.at/";"1986";"Graz";"No";"N/A"
"Lyft";"http://lyft.me/";"2012";"San Francisco";"N/A";"N/A"
"M-Pesa";"https://www.mpesa.in";"2007";"N/A";"N/A";"m-pesaTM is a fast, secure and convenient way to transact on mobile brought to you by Vodafone, through its wholly owned subsidiary Vodafone m-pesa Limited (VMPL) in association with ICICI Bank."
"Madison Hours (Wisconsin)";"http://www.madisonhours.org";"2008";"Madison";"No";"N/A"
"MaestroMarket";"https://maestromarket.com/";"2010";"San Francisco";"N/A";"N/A"
"MagicEvent.com";"http://www.magicevent.com";"2014";"Paris";"N/A";"MagicEvent.com is the first site for reserving accommodation and booking services that is exclusively dedicated to business tourism. With a presence in major European cities (Paris, Cologne, Hanover, Barcelona, London, etc.), MagicEvent.com offers accommodation in the immediate vicinity of large business centers and convention/exhibition centers."
"Maid Sailors";"https://maidsailors.com/";"2014";"New York";"Seed";"At Maid Sailors, we believe that having a clean home leads to a fuller, healthier and more productive life. Cleaning services have always been viewed as a luxury service for wealthy individuals but we are starting a movement to make cleaning services available to a broader audience."
"Make Up Alley";"http://www.makeupalley.com/swap/";"1999";"N/A";"N/A";"N/A"
